id,pred
comment_0,0.047199788
comment_1,0.773505551
comment_2,0.081535599
comment_3,0.564175046
comment_4,0.341981696
comment_5,0.393140281
comment_6,0.575845409
comment_7,0.236392896
comment_8,0.699474419
comment_9,0.423727092
comment_10,0.703991549
comment_11,0.879359801
comment_12,0.300807079
comment_13,0.939150631
comment_14,0.614893596
comment_15,0.956265331
comment_16,0.95478448
comment_17,0.776304854
comment_18,0.215573016
comment_19,0.30966438
comment_20,0.275350896
comment_21,0.993230028
comment_22,0.80133034
comment_23,0.517868123
comment_24,0.799001798
comment_25,0.606817849
comment_26,0.852884908
comment_27,0.895572932
comment_28,0.710512288
comment_29,0.708411101
comment_30,0.937535742
comment_31,0.812053237
comment_32,0.998799708
comment_33,0.143363384
comment_34,0.675640686
comment_35,0.821627017
comment_36,0.407328133
comment_37,0.464154601
comment_38,0.088708251
comment_39,0.346995889
comment_40,0.318029715
comment_41,0.044537316
comment_42,0.716625033
comment_43,0.775682387
comment_44,0.405900329
comment_45,0.028406785
comment_46,0.547268199
comment_47,0.255723003
comment_48,0.418986523
comment_49,0.093827137
comment_50,0.71240728
comment_51,0.229349108
comment_52,0.209222526
comment_53,0.743192103
comment_54,0.139658021
comment_55,0.160587325
comment_56,0.62559629
comment_57,0.463099583
comment_58,0.823942361
comment_59,0.21914084
comment_60,0.808861466
comment_61,0.737398013
comment_62,0.537134811
comment_63,0.288178247
comment_64,0.604345316
comment_65,0.831356507
comment_66,0.633508748
comment_67,0.379436393
comment_68,0.087102645
comment_69,0.449074834
comment_70,0.550509699
comment_71,0.289172889
comment_72,0.942924752
comment_73,0.086633303
comment_74,0.603382033
comment_75,0.138166155
comment_76,0.27362911
comment_77,0.636049032
comment_78,0.424333746
comment_79,0.874620022
comment_80,0.989784064
comment_81,0.706291006
comment_82,0.818816437
comment_83,0.112586625
comment_84,0.848854978
comment_85,0.426234446
comment_86,0.160598131
comment_87,0.378640145
comment_88,0.949447257
comment_89,0.114671146
comment_90,0.878288573
comment_91,0.241898027
comment_92,0.991975388
comment_93,0.469458485
comment_94,0.560750699
comment_95,0.0961397
comment_96,0.17073759
comment_97,0.234563679
comment_98,0.019914787
comment_99,0.108713941
comment_100,0.967577249
comment_101,0.409641719
comment_102,0.373735596
comment_103,0.94408399
comment_104,0.814222825
comment_105,0.859139326
comment_106,0.301404769
comment_107,0.034406295
comment_108,0.873681572
comment_109,0.529334698
comment_110,0.403232521
comment_111,0.36777531
comment_112,0.217042937
comment_113,0.120021634
comment_114,0.752761121
comment_115,0.946142649
comment_116,0.463510036
comment_117,0.581264526
comment_118,0.234674324
comment_119,0.277782544
comment_120,0.014656023
comment_121,0.446045876
comment_122,0.758601917
comment_123,0.380007145
comment_124,0.717500865
comment_125,0.981743212
comment_126,0.317792162
comment_127,0.19460142
comment_128,0.573752971
comment_129,0.482707294
comment_130,0.213000551
comment_131,0.895081631
comment_132,0.100588361
comment_133,0.588923699
comment_134,0.802130409
comment_135,0.168095523
comment_136,0.320045918
comment_137,0.72002849
comment_138,0.884000942
comment_139,0.735530856
comment_140,0.16903096
comment_141,0.485592617
comment_142,0.736905096
comment_143,0.631602334
comment_144,0.838001277
comment_145,0.146173701
comment_146,0.352665522
comment_147,0.637184469
comment_148,0.348415135
comment_149,0.288700989
comment_150,0.300177732
comment_151,0.480869836
comment_152,0.963599585
comment_153,0.769731832
comment_154,0.480777519
comment_155,0.34670296
comment_156,0.067333877
comment_157,0.625382751
comment_158,0.371213655
comment_159,0.975285003
comment_160,0.723262655
comment_161,0.693912841
comment_162,0.674254374
comment_163,0.885751633
comment_164,0.441582066
comment_165,0.609934009
comment_166,0.332418511
comment_167,0.563428523
comment_168,0.431695321
comment_169,0.527998996
comment_170,0.066265523
comment_171,0.791114865
comment_172,0.219646929
comment_173,0.957427289
comment_174,0.42764956
comment_175,0.421753504
comment_176,0.721981205
comment_177,0.302296867
comment_178,0.991821558
comment_179,0.46038186
comment_180,0.82361386
comment_181,0.763134912
comment_182,0.146793747
comment_183,0.045273906
comment_184,0.82428609
comment_185,0.496970887
comment_186,0.256709395
comment_187,0.160573842
comment_188,0.346032667
comment_189,0.604747093
comment_190,0.865442246
comment_191,0.082693437
comment_192,0.694983199
comment_193,0.20828989
comment_194,0.195939875
comment_195,0.19399829
comment_196,0.581863486
comment_197,0.103036316
comment_198,0.396847426
comment_199,0.473822496
comment_200,0.460186046
comment_201,0.176305423
comment_202,0.695919564
comment_203,0.245364446
comment_204,0.06152562
comment_205,0.128563596
comment_206,0.62774099
comment_207,0.94335304
comment_208,0.940790824
comment_209,0.064485452
comment_210,0.250812575
comment_211,0.785374583
comment_212,0.195793557
comment_213,0.931537541
comment_214,0.365273111
comment_215,0.983060505
comment_216,0.861369379
comment_217,0.859732992
comment_218,0.653181757
comment_219,0.293657637
comment_220,0.710476253
comment_221,0.946429578
comment_222,0.15361823
comment_223,0.833141278
comment_224,0.893851167
comment_225,0.996805659
comment_226,0.69850828
comment_227,0.709666982
comment_228,0.2792052
comment_229,0.135409822
comment_230,0.241059131
comment_231,0.844636386
comment_232,0.413069903
comment_233,0.564942632
comment_234,0.787117115
comment_235,0.082847639
comment_236,0.094286051
comment_237,0.921680743
comment_238,0.805908027
comment_239,0.15030198
comment_240,0.635889493
comment_241,0.751226824
comment_242,0.000481062
comment_243,0.171893482
comment_244,0.460498051
comment_245,0.427754058
comment_246,0.62969417
comment_247,0.940477623
comment_248,0.296800622
comment_249,0.791206854
comment_250,0.004490533
comment_251,0.947450106
comment_252,0.756941561
comment_253,0.069204472
comment_254,0.109085076
comment_255,0.275627683
comment_256,0.157810197
comment_257,0.762303928
comment_258,0.234681947
comment_259,0.12747057
comment_260,0.593674352
comment_261,0.388282888
comment_262,0.870398925
comment_263,0.860631045
comment_264,0.256981939
comment_265,0.944154917
comment_266,0.160007383
comment_267,0.007925447
comment_268,0.08125892
comment_269,0.276460244
comment_270,0.790853691
comment_271,0.227234151
comment_272,0.867404849
comment_273,0.248318075
comment_274,0.712549084
comment_275,0.442043322
comment_276,0.906277758
comment_277,0.400973836
comment_278,0.057192401
comment_279,0.306653817
comment_280,0.24407061
comment_281,0.244582276
comment_282,0.983646816
comment_283,0.623097676
comment_284,0.91842324
comment_285,0.474739075
comment_286,0.90833817
comment_287,0.23138442
comment_288,0.363116217
comment_289,0.726139746
comment_290,0.873305615
comment_291,0.076603832
comment_292,0.425681556
comment_293,0.832071391
comment_294,0.095298755
comment_295,0.068053908
comment_296,0.241702256
comment_297,0.250608453
comment_298,0.19035539
comment_299,0.951884253
comment_300,0.025244917
comment_301,0.113169701
comment_302,0.95683466
comment_303,0.30852144
comment_304,0.383769112
comment_305,0.205434894
comment_306,0.71886658
comment_307,0.589630432
comment_308,0.963035909
comment_309,0.435997088
comment_310,0.858463293
comment_311,0.387591365
comment_312,0.978441126
comment_313,0.176449085
comment_314,0.700845287
comment_315,0.467483251
comment_316,0.616002596
comment_317,0.08538865
comment_318,0.174702203
comment_319,0.539545955
comment_320,0.447209079
comment_321,0.472636034
comment_322,0.519858621
comment_323,0.663030325
comment_324,0.647491572
comment_325,0.420064245
comment_326,0.184041279
comment_327,0.512787766
comment_328,0.217083452
comment_329,0.853177686
comment_330,0.513453647
comment_331,0.230431141
comment_332,0.413778395
comment_333,0.634954479
comment_334,0.826897261
comment_335,0.583608938
comment_336,0.370395657
comment_337,0.456380093
comment_338,0.812767651
comment_339,0.20209584
comment_340,0.998589817
comment_341,0.081366608
comment_342,0.113996665
comment_343,0.586916425
comment_344,0.319570795
comment_345,0.009932883
comment_346,0.153290375
comment_347,0.252458088
comment_348,0.237323476
comment_349,0.703473713
comment_350,0.618780953
comment_351,0.490733641
comment_352,0.999275213
comment_353,0.088640509
comment_354,0.086525337
comment_355,0.738368951
comment_356,0.446894367
comment_357,0.581618564
comment_358,0.489334736
comment_359,0.11110116
comment_360,0.232272777
comment_361,0.343469536
comment_362,0.189534073
comment_363,0.547820489
comment_364,0.681629281
comment_365,0.272072352
comment_366,0.375220181
comment_367,0.345078293
comment_368,0.959833567
comment_369,0.339378743
comment_370,0.955042212
comment_371,0.586295683
comment_372,0.777271477
comment_373,0.253639113
comment_374,0.278632466
comment_375,0.457172282
comment_376,0.768859698
comment_377,0.236811384
comment_378,0.017475379
comment_379,0.612956914
comment_380,0.500992578
comment_381,0.490795064
comment_382,0.489327772
comment_383,0.493301262
comment_384,0.414145278
comment_385,0.241424655
comment_386,0.509216384
comment_387,0.973511062
comment_388,0.907884248
comment_389,0.687851889
comment_390,0.798687513
comment_391,0.910697504
comment_392,0.462864002
comment_393,0.053242042
comment_394,0.333199497
comment_395,0.113152461
comment_396,0.114706292
comment_397,0.711891839
comment_398,0.715652104
comment_399,0.649066175
comment_400,0.438941072
comment_401,0.769077285
comment_402,0.129646799
comment_403,0.850883426
comment_404,0.504308457
comment_405,0.823057025
comment_406,0.240618815
comment_407,0.227690633
comment_408,0.820082232
comment_409,0.225047433
comment_410,0.817928049
comment_411,0.957608427
comment_412,0.605005619
comment_413,0.808956394
comment_414,0.184332457
comment_415,0.103886524
comment_416,0.121718666
comment_417,0.618217825
comment_418,0.188488389
comment_419,0.572414525
comment_420,0.067444713
comment_421,0.182413664
comment_422,0.01919983
comment_423,0.812200164
comment_424,0.620023792
comment_425,0.424510018
comment_426,0.298791752
comment_427,0.061895552
comment_428,0.866320054
comment_429,0.387379403
comment_430,0.31312283
comment_431,0.30864952
comment_432,0.654964127
comment_433,0.722271762
comment_434,0.794316217
comment_435,0.619222707
comment_436,0.669583905
comment_437,0.738153269
comment_438,0.709886939
comment_439,0.707890534
comment_440,0.056173647
comment_441,0.542121582
comment_442,0.816909753
comment_443,0.871272012
comment_444,0.429978013
comment_445,0.36196823
comment_446,0.584930072
comment_447,0.447185252
comment_448,0.648526333
comment_449,0.051110781
comment_450,0.379324317
comment_451,0.689968049
comment_452,0.94301492
comment_453,0.532084493
comment_454,0.831788838
comment_455,0.831069447
comment_456,0.316253825
comment_457,0.844640413
comment_458,0.75198093
comment_459,0.566510684
comment_460,0.951603488
comment_461,0.443201689
comment_462,0.830230761
comment_463,0.194803342
comment_464,0.259255747
comment_465,0.293062957
comment_466,0.729046834
comment_467,0.470727874
comment_468,0.692600644
comment_469,0.485106641
comment_470,0.135372687
comment_471,0.823286607
comment_472,0.659228267
comment_473,0.407789177
comment_474,0.44070546
comment_475,0.748612177
comment_476,0.021181185
comment_477,0.487340212
comment_478,0.073696866
comment_479,0.055696019
comment_480,0.689268751
comment_481,0.616346047
comment_482,0.494230927
comment_483,0.121830212
comment_484,0.225904146
comment_485,0.012870934
comment_486,0.76110383
comment_487,0.387232888
comment_488,0.880188429
comment_489,0.375836892
comment_490,0.1676567
comment_491,0.153947513
comment_492,0.947029027
comment_493,0.477770472
comment_494,0.696990699
comment_495,0.773574151
comment_496,0.032693369
comment_497,0.466640809
comment_498,0.204012904
comment_499,0.771936351
comment_500,0.465506975
comment_501,0.005950632
comment_502,0.557813608
comment_503,0.498811318
comment_504,0.980281962
comment_505,0.973386368
comment_506,0.973030802
comment_507,0.075826807
comment_508,0.242453984
comment_509,0.675004004
comment_510,0.075426956
comment_511,0.184091913
comment_512,0.906575166
comment_513,0.896379503
comment_514,0.585958307
comment_515,0.303892209
comment_516,0.515923697
comment_517,0.502114185
comment_518,0.467089653
comment_519,0.318233761
comment_520,0.336093774
comment_521,0.88586852
comment_522,0.380552915
comment_523,0.320633225
comment_524,0.767981659
comment_525,0.885875684
comment_526,0.559130193
comment_527,0.215960552
comment_528,0.74613831
comment_529,0.84742387
comment_530,0.248978218
comment_531,0.815137999
comment_532,0.353063636
comment_533,0.725739466
comment_534,0.331511753
comment_535,0.655768815
comment_536,0.528297174
comment_537,0.795101013
comment_538,0.797612225
